x,y,w_r,w_l
2.6541,0.0400,0.6000,0.6000
2.6591,0.0400,0.6000,0.6000
2.6641,0.0401,0.6000,0.6000
2.6691,0.0401,0.6000,0.6000
2.6741,0.0401,0.6000,0.6000
2.6791,0.0401,0.6000,0.6000
2.6841,0.0400,0.6000,0.6000
2.6891,0.0400,0.6000,0.6000
2.6941,0.0400,0.6000,0.6000
2.6992,0.0399,0.6000,0.6000
2.7042,0.0399,0.6000,0.6000
2.7092,0.0398,0.6000,0.6000
2.7142,0.0398,0.6000,0.6000
2.7192,0.0398,0.6000,0.6000
2.7242,0.0398,0.6000,0.6000
2.7292,0.0398,0.6000,0.6000
2.7342,0.0399,0.6000,0.6000
2.7392,0.0400,0.6000,0.6000
2.7441,0.0401,0.6000,0.6000
2.7490,0.0403,0.6000,0.6000
2.7539,0.0405,0.6000,0.6000
2.7589,0.0407,0.6000,0.6000
2.7638,0.0408,0.6000,0.6000
2.7688,0.0409,0.6000,0.6000
2.7738,0.0409,0.6000,0.6000
2.7788,0.0407,0.6000,0.6000
2.7840,0.0405,0.6000,0.6000
2.7891,0.0401,0.6000,0.6000
2.7944,0.0395,0.6000,0.6000
2.7996,0.0388,0.6000,0.6000
2.8049,0.0381,0.6000,0.6000
2.8102,0.0375,0.6000,0.6000
2.8154,0.0370,0.6000,0.6000
2.8205,0.0367,0.6000,0.6000
2.8255,0.0368,0.6000,0.6000
2.8303,0.0372,0.6000,0.6000
2.8349,0.0382,0.6000,0.6000
2.8393,0.0397,0.6000,0.6000
2.8434,0.0418,0.6000,0.6000
2.8473,0.0446,0.6000,0.6000
2.8509,0.0479,0.6000,0.6000
2.8544,0.0515,0.6000,0.6000
2.8578,0.0555,0.6000,0.6000
2.8610,0.0597,0.6000,0.6000
2.8642,0.0640,0.6000,0.6000
2.8675,0.0683,0.6000,0.6000
2.8707,0.0726,0.6000,0.6000
2.8740,0.0766,0.6000,0.6000
2.8774,0.0805,0.6000,0.6000
2.8810,0.0839,0.6000,0.6000
2.8847,0.0869,0.6000,0.6000
2.8887,0.0894,0.6000,0.6000
2.8930,0.0912,0.6000,0.6000
2.8975,0.0924,0.6000,0.6000
2.9022,0.0931,0.6000,0.6000
2.9071,0.0933,0.6000,0.6000
2.9122,0.0932,0.6000,0.6000
2.9173,0.0928,0.6000,0.6000
2.9226,0.0922,0.6000,0.6000
2.9279,0.0915,0.6000,0.6000
2.9331,0.0908,0.6000,0.6000
2.9384,0.0902,0.6000,0.6000
2.9436,0.0897,0.6000,0.6000
2.9487,0.0894,0.6000,0.6000
2.9538,0.0892,0.6000,0.6000
2.9589,0.0891,0.6000,0.6000
2.9638,0.0891,0.6000,0.6000
2.9688,0.0893,0.6000,0.6000
2.9737,0.0894,0.6000,0.6000
2.9787,0.0896,0.6000,0.6000
2.9836,0.0898,0.6000,0.6000
2.9885,0.0900,0.6000,0.6000
2.9935,0.0901,0.6000,0.6000
2.9984,0.0902,0.6000,0.6000
3.0034,0.0902,0.6000,0.6000
3.0084,0.0902,0.6000,0.6000
3.0134,0.0902,0.6000,0.6000
3.0184,0.0902,0.6000,0.6000
3.0234,0.0902,0.6000,0.6000
3.0285,0.0901,0.6000,0.6000
3.0335,0.0901,0.6000,0.6000
3.0385,0.0900,0.6000,0.6000
3.0435,0.0900,0.6000,0.6000
3.0485,0.0900,0.6000,0.6000
3.0535,0.0899,0.6000,0.6000
3.0585,0.0899,0.6000,0.6000
3.0635,0.0899,0.6000,0.6000
3.0685,0.0899,0.6000,0.6000
3.0735,0.0900,0.6000,0.6000
3.0785,0.0900,0.6000,0.6000
3.0835,0.0900,0.6000,0.6000
3.0885,0.0900,0.6000,0.6000
3.0935,0.0900,0.6000,0.6000
3.0985,0.0900,0.6000,0.6000
3.1035,0.0900,0.6000,0.6000
3.1085,0.0900,0.6000,0.6000
3.1135,0.0900,0.6000,0.6000
3.1185,0.0900,0.6000,0.6000
3.1235,0.0900,0.6000,0.6000
3.1285,0.0900,0.6000,0.6000
3.1335,0.0900,0.6000,0.6000
3.1385,0.0900,0.6000,0.6000
3.1435,0.0900,0.6000,0.6000
3.1485,0.0900,0.6000,0.6000
3.1535,0.0900,0.6000,0.6000
3.1585,0.0900,0.6000,0.6000
3.1635,0.0900,0.6000,0.6000
3.1685,0.0900,0.6000,0.6000
3.1735,0.0900,0.6000,0.6000
3.1785,0.0900,0.6000,0.6000
3.1835,0.0900,0.6000,0.6000
3.1885,0.0900,0.6000,0.6000
3.1935,0.0900,0.6000,0.6000
3.1985,0.0900,0.6000,0.6000
3.2035,0.0900,0.6000,0.6000
3.2085,0.0900,0.6000,0.6000
3.2135,0.0900,0.6000,0.6000
3.2185,0.0900,0.6000,0.6000
3.2235,0.0900,0.6000,0.6000
3.2285,0.0900,0.6000,0.6000
3.2335,0.0900,0.6000,0.6000
3.2385,0.0900,0.6000,0.6000
3.2435,0.0900,0.6000,0.6000
3.2485,0.0900,0.6000,0.6000
3.2535,0.0900,0.6000,0.6000
3.2585,0.0900,0.6000,0.6000
3.2635,0.0900,0.6000,0.6000
3.2685,0.0900,0.6000,0.6000
3.2735,0.0900,0.6000,0.6000
3.2785,0.0900,0.6000,0.6000
3.2836,0.0900,0.6000,0.6000
3.2886,0.0900,0.6000,0.6000
3.2936,0.0900,0.6000,0.6000
3.2986,0.0900,0.6000,0.6000
3.3036,0.0900,0.6000,0.6000
3.3086,0.0900,0.6000,0.6000
3.3136,0.0900,0.6000,0.6000
3.3186,0.0900,0.6000,0.6000
3.3236,0.0900,0.6000,0.6000
3.3286,0.0900,0.6000,0.6000
3.3336,0.0900,0.6000,0.6000
3.3386,0.0900,0.6000,0.6000
3.3436,0.0900,0.6000,0.6000
3.3486,0.0900,0.6000,0.6000
3.3536,0.0900,0.6000,0.6000
